run_id,method_id,checkpoint_id,training_updates,environment,pair,visit,evaluation_domain,stage,prediction_count,target_count,maximum_valid_pairs_50,maximum_valid_pairs_25,best_iou_mean,ar50,ar25,tp50,fp50,fn50,f1_50,tp25,fp25,fn25,f1_25
20260908_scene0109_obs_base_tuned_train200_dev_v2,OBS_BASE_TUNED,c44b63f74fa1e4a536e732732268d14c3e75accdf20c389ab563e08aac77c4ea,200,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,COMMON_INPUT_SUPPORT_V2,R2_EXCLUSIVE_QUERY,3,10,1,3,0.13222106286235893,0.1,0.3,1,2,9,0.15384615384615385,3,0,7,0.46153846153846156
20260908_scene0109_obs_base_tuned_train200_dev_v2,OBS_BASE_TUNED,c44b63f74fa1e4a536e732732268d14c3e75accdf20c389ab563e08aac77c4ea,200,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,COMMON_INPUT_SUPPORT_V2,R3_FINAL_MAP,18,10,2,8,0.33986142427486415,0.2,0.8,2,16,8,0.14285714285714285,8,10,2,0.5714285714285714
20260908_scene0109_obs_base_tuned_train500_dev_v2,OBS_BASE_TUNED,c1bfa4da63f1d49debd84e8e3f496769fc6715c546658e6c5da57d29c79f240f,500,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,FULL_GT_V2,R0_RAW_ALL,64,14,0,0,0.05522413238333459,0.0,0.0,,,,,,,,
20260908_scene0109_obs_base_tuned_train500_dev_v2,OBS_BASE_TUNED,c1bfa4da63f1d49debd84e8e3f496769fc6715c546658e6c5da57d29c79f240f,500,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,FULL_GT_V2,R1_ELIGIBLE,3,14,0,0,0.032259215264467074,0.0,0.0,,,,,,,,
20260908_scene0109_obs_base_tuned_train500_dev_v2,OBS_BASE_TUNED,c1bfa4da63f1d49debd84e8e3f496769fc6715c546658e6c5da57d29c79f240f,500,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,FULL_GT_V2,R2_EXCLUSIVE_QUERY,3,14,0,0,0.032259215264467074,0.0,0.0,0,3,14,0.0,0,3,14,0.0
20260908_scene0109_obs_base_tuned_train500_dev_v2,OBS_BASE_TUNED,c1bfa4da63f1d49debd84e8e3f496769fc6715c546658e6c5da57d29c79f240f,500,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,FULL_GT_V2,R3_FINAL_MAP,32,14,0,1,0.11032919886468519,0.0,0.07142857142857142,0,32,14,0.0,1,31,13,0.043478260869565216
20260908_scene0109_obs_base_tuned_train500_dev_v2,OBS_BASE_TUNED,c1bfa4da63f1d49debd84e8e3f496769fc6715c546658e6c5da57d29c79f240f,500,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,R0_RAW_ALL,44,14,0,0,0.04232503803465653,0.0,0.0,,,,,,,,
20260908_scene0109_obs_base_tuned_train500_dev_v2,OBS_BASE_TUNED,c1bfa4da63f1d49debd84e8e3f496769fc6715c546658e6c5da57d29c79f240f,500,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,R1_ELIGIBLE,3,14,0,0,0.03654946295456516,0.0,0.0,,,,,,,,
20260908_scene0109_obs_base_tuned_train500_dev_v2,OBS_BASE_TUNED,c1bfa4da63f1d49debd84e8e3f496769fc6715c546658e6c5da57d29c79f240f,500,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,R2_EXCLUSIVE_QUERY,3,14,0,0,0.03654946295456516,0.0,0.0,0,3,14,0.0,0,3,14,0.0
20260908_scene0109_obs_base_tuned_train500_dev_v2,OBS_BASE_TUNED,c1bfa4da63f1d49debd84e8e3f496769fc6715c546658e6c5da57d29c79f240f,500,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,FULL_GT_V2,R3_FINAL_MAP,23,14,0,2,0.11638842250671586,0.0,0.14285714285714285,0,23,14,0.0,2,21,12,0.10810810810810811
20260908_scene0109_obs_base_tuned_train500_dev_v2,OBS_BASE_TUNED,c1bfa4da63f1d49debd84e8e3f496769fc6715c546658e6c5da57d29c79f240f,500,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,COMMON_INPUT_SUPPORT_V2,R0_RAW_ALL,64,12,1,4,0.18865207553360427,0.08333333333333333,0.3333333333333333,,,,,,,,
20260908_scene0109_obs_base_tuned_train500_dev_v2,OBS_BASE_TUNED,c1bfa4da63f1d49debd84e8e3f496769fc6715c546658e6c5da57d29c79f240f,500,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,COMMON_INPUT_SUPPORT_V2,R1_ELIGIBLE,3,12,0,3,0.11400886738870362,0.0,0.25,,,,,,,,
20260908_scene0109_obs_base_tuned_train500_dev_v2,OBS_BASE_TUNED,c1bfa4da63f1d49debd84e8e3f496769fc6715c546658e6c5da57d29c79f240f,500,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,COMMON_INPUT_SUPPORT_V2,R2_EXCLUSIVE_QUERY,3,12,0,3,0.11400886738870362,0.0,0.25,0,3,12,0.0,3,0,9,0.4
20260908_scene0109_obs_base_tuned_train500_dev_v2,OBS_BASE_TUNED,c1bfa4da63f1d49debd84e8e3f496769fc6715c546658e6c5da57d29c79f240f,500,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,COMMON_INPUT_SUPPORT_V2,R3_FINAL_MAP,29,12,1,5,0.2512509918108659,0.08333333333333333,0.4166666666666667,1,28,11,0.04878048780487805,5,24,7,0.24390243902439024
20260908_scene0109_obs_base_tuned_train500_dev_v2,OBS_BASE_TUNED,c1bfa4da63f1d49debd84e8e3f496769fc6715c546658e6c5da57d29c79f240f,500,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,COMMON_INPUT_SUPPORT_V2,R0_RAW_ALL,44,10,1,4,0.1678447033708454,0.1,0.4,,,,,,,,
20260908_scene0109_obs_base_tuned_train500_dev_v2,OBS_BASE_TUNED,c1bfa4da63f1d49debd84e8e3f496769fc6715c546658e6c5da57d29c79f240f,500,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,COMMON_INPUT_SUPPORT_V2,R1_ELIGIBLE,3,10,1,3,0.1330347297924069,0.1,0.3,,,,,,,,
20260908_scene0109_obs_base_tuned_train500_dev_v2,OBS_BASE_TUNED,c1bfa4da63f1d49debd84e8e3f496769fc6715c546658e6c5da57d29c79f240f,500,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,COMMON_INPUT_SUPPORT_V2,R2_EXCLUSIVE_QUERY,3,10,1,3,0.1330347297924069,0.1,0.3,1,2,9,0.15384615384615385,3,0,7,0.46153846153846156
20260908_scene0109_obs_base_tuned_train500_dev_v2,OBS_BASE_TUNED,c1bfa4da63f1d49debd84e8e3f496769fc6715c546658e6c5da57d29c79f240f,500,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,1,COMMON_INPUT_SUPPORT_V2,R3_FINAL_MAP,19,10,2,8,0.3406750912049121,0.2,0.8,2,17,8,0.13793103448275862,8,11,2,0.5517241379310345
20260908_scene0109_obs_base_tuned_train1000_dev_v2,OBS_BASE_TUNED,0fff7463bb29f369b904fde61a9134b397a68c51a5b936931f4f96fc399c3802,1000,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,FULL_GT_V2,R0_RAW_ALL,77,14,0,1,0.06752058508310899,0.0,0.07142857142857142,,,,,,,,
20260908_scene0109_obs_base_tuned_train1000_dev_v2,OBS_BASE_TUNED,0fff7463bb29f369b904fde61a9134b397a68c51a5b936931f4f96fc399c3802,1000,20c993b7-698f-29c5-847d-c8cb8a685f5a,scene0109_00-scene0109_01,0,FULL_GT_V2,R1_ELIGIBLE,4,14,0,0,0.04342013223416989,0.0,0.0,,,,,,,,
