canonical_source_row,x,y,z,native_id,final_id,diagnostic_GT_id,category
286226,-10.805000305175781,-5.304999828338623,1.7031699419021606,16,16,16,retained_correct
286228,-10.805000305175781,-5.304999828338623,1.7031699419021606,16,16,16,retained_correct
286229,-10.795000076293945,-5.304999828338623,1.7033400535583496,16,16,16,retained_correct
286231,-10.805000305175781,-5.304999828338623,1.7031699419021606,16,16,16,retained_correct
313381,-13.005000114440918,-7.295780181884766,2.575000047683716,11,11,-1,GT_unmatched
313384,-13.005000114440918,-7.295780181884766,2.575000047683716,11,11,-1,GT_unmatched
313387,-13.008099555969238,-7.295000076293945,2.5850000381469727,11,11,-1,GT_unmatched
313388,-13.005000114440918,-7.295000076293945,2.576970100402832,11,11,-1,GT_unmatched
313390,-13.005000114440918,-7.295000076293945,2.576970100402832,11,11,-1,GT_unmatched
313391,-13.005000114440918,-7.295780181884766,2.575000047683716,11,11,-1,GT_unmatched
313394,-13.005000114440918,-7.295780181884766,2.575000047683716,11,11,-1,GT_unmatched
313397,-13.005000114440918,-7.295780181884766,2.575000047683716,11,11,-1,GT_unmatched
313398,-13.008099555969238,-7.295000076293945,2.5850000381469727,11,11,-1,GT_unmatched
313401,-13.008099555969238,-7.295000076293945,2.5850000381469727,11,11,-1,GT_unmatched
313403,-13.009099960327148,-7.295000076293945,2.5950000286102295,11,11,-1,GT_unmatched
313404,-13.009099960327148,-7.295000076293945,2.5950000286102295,11,11,-1,GT_unmatched
313407,-13.009099960327148,-7.295000076293945,2.5950000286102295,11,11,-1,GT_unmatched
313409,-13.006600379943848,-7.295000076293945,2.6050000190734863,11,11,-1,GT_unmatched
313411,-13.005000114440918,-7.295000076293945,2.607189893722534,11,11,-1,GT_unmatched
313412,-13.006600379943848,-7.295000076293945,2.6050000190734863,11,11,-1,GT_unmatched
313414,-13.006600379943848,-7.295000076293945,2.6050000190734863,11,11,-1,GT_unmatched
313434,-13.008099555969238,-7.295000076293945,2.5850000381469727,11,11,-1,GT_unmatched
313435,-13.005000114440918,-7.2920098304748535,2.5850000381469727,11,11,-1,GT_unmatched
313436,-13.005000114440918,-7.295000076293945,2.576970100402832,11,11,-1,GT_unmatched
313437,-13.009099960327148,-7.295000076293945,2.5950000286102295,11,11,-1,GT_unmatched
313438,-13.005000114440918,-7.291110038757324,2.5950000286102295,11,11,-1,GT_unmatched
313439,-13.008099555969238,-7.295000076293945,2.5850000381469727,11,11,-1,GT_unmatched
313440,-13.008099555969238,-7.295000076293945,2.5850000381469727,11,11,-1,GT_unmatched
