optimizer_update,total,loss_ce,loss_mask,loss_dice,loss_region,loss_consistency,mean_micro_loss,gradient_norm_before_clip,optimizer_group_0_gradient_norm,all_gradients_finite
129,22.67422866821289,0.0034280517138540745,0.028629733249545097,0.589404284954071,-0.0,-0.0,22.68853187561035,38.05790328979492,1.0000000595163794,True
130,22.597801208496094,0.003299453528597951,0.02830849401652813,0.5860104560852051,-0.0,-0.0,22.655677795410156,8.250024795532227,0.9999998858678444,True
131,22.56196403503418,0.00360362627543509,0.02800007537007332,0.5873501896858215,-0.0,-0.0,22.585087776184082,8.329262733459473,0.999999875835662,True
132,22.74764633178711,0.0034391197841614485,0.028167400509119034,0.5834013819694519,-0.0,-0.0,22.705740928649902,35.837066650390625,0.9999999727483552,True
133,22.455604553222656,0.0033761849626898766,0.029360294342041016,0.5819942355155945,-0.0,-0.0,22.52650737762451,10.69106674194336,0.9999998409205533,True
134,22.53684425354004,0.0032679634168744087,0.029781688004732132,0.605765163898468,-0.0,-0.0,22.52355670928955,9.627335548400879,0.9999998994544461,True
135,22.584983825683594,0.0031509872060269117,0.029061758890748024,0.5817208886146545,-0.0,-0.0,22.538185119628906,10.574823379516602,0.9999999410568972,True
136,22.515851974487305,0.003259341698139906,0.028961023315787315,0.5786088109016418,-0.0,-0.0,22.490062713623047,8.626625061035156,0.9999999645602877,True
137,22.47223663330078,0.004012520425021648,0.030192524194717407,0.5785166621208191,-0.0,-0.0,22.49231719970703,9.83469009399414,0.9999998994501829,True
138,22.627199172973633,0.0037107791285961866,0.028226202353835106,0.5943878293037415,-0.0,-0.0,22.574360847473145,13.48038101196289,0.9999999380772787,True
139,22.63459587097168,0.0031212405301630497,0.029069935902953148,0.5833685994148254,-0.0,-0.0,22.588963508605957,11.232080459594727,0.9999998835737575,True
140,22.437366485595703,0.0031447596848011017,0.028682410717010498,0.5745745301246643,-0.0,-0.0,22.41355323791504,10.658987045288086,0.9999999940134785,True
141,22.309907913208008,0.0033004232682287693,0.0279287938028574,0.5758649110794067,-0.0,-0.0,22.387011528015137,8.93305492401123,0.999999836396669,True
142,22.3441219329834,0.003598397597670555,0.02763652242720127,0.575986921787262,-0.0,-0.0,22.390982627868652,8.863473892211914,0.9999999358223001,True
143,22.35958480834961,0.0033965674228966236,0.028022024780511856,0.5807871222496033,-0.0,-0.0,22.377155303955078,10.310552597045898,0.9999999248366266,True
144,22.36934471130371,0.010396085679531097,0.027753550559282303,0.5746014714241028,-0.0,-0.0,22.37432289123535,24.90960693359375,0.9999999419014199,True
145,22.343666076660156,0.0031340213026851416,0.027676094323396683,0.5727357268333435,-0.0,-0.0,22.354544639587402,11.199378967285156,0.999999841691748,True
146,22.667539596557617,0.0037771156057715416,0.02809966541826725,0.5689238905906677,-0.0,-0.0,22.48288631439209,662.3478393554688,0.9999999954565908,True
147,22.225868225097656,0.003502738429233432,0.026669427752494812,0.5752363204956055,-0.0,-0.0,22.260330200195312,7.614860534667969,0.9999998455809754,True
148,22.196014404296875,0.0035820745397359133,0.02924913726747036,0.5739629864692688,-0.0,-0.0,22.293540000915527,9.567354202270508,0.9999999001677174,True
149,22.289949417114258,0.0030824795830994844,0.029094547033309937,0.5767005085945129,-0.0,-0.0,22.24385356903076,10.92922306060791,0.9999999024374754,True
150,22.34755516052246,0.0035154870711266994,0.02758762799203396,0.5851847529411316,-0.0,-0.0,22.313886642456055,14.302169799804688,0.999999950883988,True
151,22.352584838867188,0.0028365717735141516,0.029041653499007225,0.5893133282661438,-0.0,-0.0,22.331022262573242,77.20523834228516,0.9999999698776771,True
152,22.194719314575195,0.0035673670936375856,0.027537299320101738,0.5732527375221252,-0.0,-0.0,22.204401969909668,8.343066215515137,0.9999998285563687,True
153,22.26073455810547,0.003304722486063838,0.028132334351539612,0.5737329721450806,-0.0,-0.0,22.259601593017578,24.712215423583984,0.9999998677304714,True
154,22.278568267822266,0.0028747643809765577,0.027505582198500633,0.579910933971405,-0.0,-0.0,22.248615264892578,12.048447608947754,0.999999959288629,True
155,22.255342483520508,0.004310265649110079,0.028572261333465576,0.5719532370567322,-0.0,-0.0,22.19938087463379,12.705596923828125,0.9999999057766855,True
156,22.235057830810547,0.003552560228854418,0.0293900016695261,0.565529465675354,-0.0,-0.0,22.241921424865723,18.30843162536621,0.9999999081351192,True
