family,exact_implementation,case,state_variant,split,actual_status,result_file,result_sha256,prediction,source_rows,geometry_fixed,owner_changed,changed_owner_rows,unknown_rows,unknown_rate,static_miou,f_miou,CA_AP25,CA_AP50,CA_AR50,predicted_instance_count,dynamic_current_miou,Ghost,Ghost_numerator,Ghost_denominator,BG_F5,Surface_F5,Surface_precision,all_current_free_conflict_count,all_current_free_conflict_denominator,all_current_conflicting_5cm_voxels,delta_vs_native_OVI,S2_reference,delta_vs_S2,direct_control,delta_vs_direct_control,feature_coverage,peak_memory_bytes,new_encoder_forwards,training_updates,passes_original_per_case_gates,selection_policy_id,selection_status
M1,MV_SINGLE,room0,,dev,FULL_MAP_EVALUATED,room0_MV_SINGLE.json,55e269b9f27df9ce185777c5c993b9cd200d06dc1e59630b6eede31b9416caeb,dev/room0/native_cached_batch/MV_SINGLE.npz,9282303,True,False,0,13707,0.0014766809486826706,0.328336537485968,0.5614353106857963,0.5626407670585036,0.470710638947717,0.6029411764705882,68,,,,,,0.9352861616716538,,,,,-0.01187145201064116,B_SEM_CROVE_S2,-0.11955215173571548,MV_NATIVE_CACHED,-0.049136334541359294,,,,,,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
M1,MV_TOPK_MEAN,room0,,dev,FULL_MAP_EVALUATED,room0_MV_TOPK_MEAN.json,58d2166d574a0830c6139502765a21c5d9aa58a51d12b6ddc7e32ad416a261f6,dev/room0/native_cached_batch/MV_TOPK_MEAN.npz,9282303,True,False,0,13707,0.0014766809486826706,0.3539015781829163,0.6051870839400171,0.5626407670585036,0.470710638947717,0.6029411764705882,68,,,,,,0.9352861616716538,,,,,0.013693588686307101,B_SEM_CROVE_S2,-0.09398711103876722,MV_NATIVE_CACHED,-0.023571293844411034,,,,,,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
M2,S2_GRAPH_BOUNDARY,room0,,dev,FULL_MAP_EVALUATED,room0_S2_GRAPH_BOUNDARY.json,6cdae9bef4058e857dfb4109e74d37172f89ffca2b184935371ad416a6a6c174,dev/room0/graph_s2_boundary/S2_GRAPH_BOUNDARY.npz,9282303,True,False,0,31630,0.003407559524829129,0.4439667182294501,0.6685528622893978,0.5626407670585036,0.470710638947717,0.6029411764705882,68,,,,,,0.9352861616716538,,,,,0.10375872873284092,B_SEM_CROVE_S2,-0.003921970992233403,S2_GRAPH_GEOM,3.2184435902471442e-06,,,,,,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
M2,S2_GRAPH_GEOM,room0,,dev,FULL_MAP_EVALUATED,room0_S2_GRAPH_GEOM.json,bf3a0fbf8b70875e06547f9ce84d4d4e281c712b8195eea58b27dc116cb4b60b,dev/room0/graph_s2/S2_GRAPH_GEOM.npz,9282303,True,False,0,31630,0.003407559524829129,0.44396349978585986,0.6685390458091711,0.5626407670585036,0.470710638947717,0.6029411764705882,68,,,,,,0.9352861616716538,,,,,0.10375551028925067,B_SEM_CROVE_S2,-0.0039251894358236505,S2_PATCH_ONLY,7.351295934965307e-05,,,,,,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
M2,S2_PATCH_ONLY,room0,,dev,FULL_MAP_EVALUATED,room0_S2_PATCH_ONLY.json,8372d8ee7a71763006d7cdb255f7eb713f4580572205606d6d2007d18562d9a2,dev/room0/graph_s2/S2_PATCH_ONLY.npz,9282303,True,False,0,31630,0.003407559524829129,0.4438899868265102,0.6686363150606061,0.5626407670585036,0.470710638947717,0.6029411764705882,68,,,,,,0.9352861616716538,,,,,0.10368199732990102,B_SEM_CROVE_S2,-0.003998702395173304,B_SEM_CROVE_S2,-0.003998702395173304,,,,,,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
M4,ADAPTER_CLIP_LEARNED,apartment,B3,dev,FULL_MAP_EVALUATED,apartment_B3_ADAPTER_CLIP_LEARNED.json,a0476e0d121a6b628aebfc6340786766111d120c469bc3f0b3dc902773af366f,dev/apartment/adapter_projected_top4/B3_ADAPTER_CLIP_LEARNED.npz,15622601,True,False,0,84626,0.005416895688496429,,,,,,,0.1352725172282115,1.0,2177,2177,0.44528003166435776,0.2417454683285177,0.19858381106377254,8705,15622601,90,-0.0006136420338552218,B_SEM_CROVE_S2_DENSE_REPLAY,-0.038870968383293486,ADAPTER_CLIP_MEAN,0.019795546726059335,0.9019937205078719,,,,False,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
M4,ADAPTER_CLIP_MEAN,apartment,B3,dev,FULL_MAP_EVALUATED,apartment_B3_ADAPTER_CLIP_MEAN.json,65ac3788ed823bc3ea36eeaff3e8a6309c0e5caf2708b142ede5cdc544627d30,dev/apartment/adapter_projected_top4/B3_ADAPTER_CLIP_MEAN.npz,15622601,True,False,0,84626,0.005416895688496429,,,,,,,0.11547697050215215,1.0,2177,2177,0.44528003166435776,0.24489793147149183,0.20329746963983783,8705,15622601,90,-0.020409188759914557,B_SEM_CROVE_S2_DENSE_REPLAY,-0.05866651510935282,,,0.9019937205078719,,,,False,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
M4+M2,ADAPTER_LEARNED_GRAPH_GEOM,apartment,B3,dev,FULL_MAP_EVALUATED,apartment_B3_ADAPTER_LEARNED_GRAPH_GEOM.json,76acb868a10389b2c51585fd12d7c081d200f6f3ffea37c96de7dcdd75557bd1,dev/apartment/graph_adapter_learned/B3_ADAPTER_LEARNED_GRAPH_GEOM.npz,15622601,True,False,0,84626,0.005416895688496429,,,,,,,0.13515081223212316,1.0,2177,2177,0.44528003166435776,0.24199793575191866,0.1989063749048917,8705,15622601,90,-0.000735347029943545,B_SEM_CROVE_S2_DENSE_REPLAY,-0.03899267337938181,ADAPTER_LEARNED_PATCH_ONLY,-1.6556291390718014e-05,0.9019937205078719,,,,False,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
M4+M2,ADAPTER_LEARNED_PATCH_ONLY,apartment,B3,dev,FULL_MAP_EVALUATED,apartment_B3_ADAPTER_LEARNED_PATCH_ONLY.json,07d4686c4fd3e6d6fe3dffe9a4ddf412273e048b674b2e1abb74c444c75bea79,dev/apartment/graph_adapter_learned/B3_ADAPTER_LEARNED_PATCH_ONLY.npz,15622601,True,False,0,84626,0.005416895688496429,,,,,,,0.13516736852351388,1.0,2177,2177,0.44528003166435776,0.24199376108504175,0.19890073435974265,8705,15622601,90,-0.0007187907385528269,B_SEM_CROVE_S2_DENSE_REPLAY,-0.03897611708799109,ADAPTER_CLIP_LEARNED,-0.00010514870469760518,0.9019937205078719,,,,False,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
BASELINE,B_SEM_CROVE_S0_DENSE_REPLAY,apartment,B3,dev,FULL_MAP_EVALUATED,apartment_B3_B_SEM_CROVE_S0_DENSE_REPLAY.json,47ffd8b51d7b9203046cf78b6a8b901fa3c76ab9a700c51e03058a58a661f083,dev/apartment/local_semantic_controls/B3_B_SEM_CROVE_S0_DENSE_REPLAY.npz,15622601,True,False,0,20987,0.0013433742563098167,,,,,,,0.17264117963890546,0.8395084041207301,4645,5533,0.6666666666666666,0.12218649295411134,0.07526333118098555,8705,15622601,90,0.036755020376838754,B_SEM_CROVE_S2_DENSE_REPLAY,-0.0015023059725995103,,,,,,,False,CROVE_MULTIMETHOD_SELECTION_V1_REVISED_V2,NOT_FROZEN
