optimizer_update,total,loss_ce,loss_mask,loss_dice,loss_region,loss_consistency,micro_step_pair_ids,pair_exposure_counts,effective_instance_targets,effective_valid_model_rows,effective_valid_regions,mean_micro_loss,gradient_norm_before_clip,optimizer_group_0_gradient_norm,optimizer_group_1_gradient_norm,all_gradients_finite
221,28.56821346282959,0.04539951868355274,0.036251955665647984,0.6778496503829956,3.3212881088256836,4.0347185134887695,scene0201_00-scene0201_01|scene0156_00-scene0156_01,"{""scene0001_00-scene0001_01"": 73, ""scene0063_00-scene0063_02"": 73, ""scene0078_00-scene0078_01"": 74, ""scene0147_00-scene0147_01"": 74, ""scene0156_00-scene0156_01"": 74, ""scene0201_00-scene0201_01"": 74}",73,90157,298,28.56821346282959,42.951942443847656,0.9997793765822324,0.021008422308515167,True
222,28.53330421447754,0.05316531844437122,0.045468322932720184,0.6435193121433258,2.562687397003174,3.387666702270508,scene0001_00-scene0001_01|scene0063_00-scene0063_02,"{""scene0001_00-scene0001_01"": 74, ""scene0063_00-scene0063_02"": 74, ""scene0078_00-scene0078_01"": 74, ""scene0147_00-scene0147_01"": 74, ""scene0156_00-scene0156_01"": 74, ""scene0201_00-scene0201_01"": 74}",46,29012,245,28.53330421447754,130.1033477783203,0.999973106264862,0.007350497509686522,True
223,26.905766487121582,0.025284478440880775,0.03876832686364651,0.6332002282142639,3.175863027572632,3.6642348766326904,scene0156_00-scene0156_01|scene0001_00-scene0001_01,"{""scene0001_00-scene0001_01"": 75, ""scene0063_00-scene0063_02"": 74, ""scene0078_00-scene0078_01"": 74, ""scene0147_00-scene0147_01"": 74, ""scene0156_00-scene0156_01"": 75, ""scene0201_00-scene0201_01"": 74}",54,79453,307,26.905766487121582,36.43536376953125,0.9999825164754421,0.005907998511884872,True
224,27.59147548675537,0.08439306169748306,0.035233477130532265,0.6137995719909668,2.6038166284561157,3.451682448387146,scene0147_00-scene0147_01|scene0078_00-scene0078_01,"{""scene0001_00-scene0001_01"": 75, ""scene0063_00-scene0063_02"": 74, ""scene0078_00-scene0078_01"": 75, ""scene0147_00-scene0147_01"": 75, ""scene0156_00-scene0156_01"": 75, ""scene0201_00-scene0201_01"": 74}",60,53172,209,27.59147548675537,55.362613677978516,0.9999674898628729,0.008060974468951659,True
225,29.198139190673828,0.07327792979776859,0.04037148039788008,0.6870558857917786,2.7246549129486084,3.4797247648239136,scene0201_00-scene0201_01|scene0063_00-scene0063_02,"{""scene0001_00-scene0001_01"": 75, ""scene0063_00-scene0063_02"": 75, ""scene0078_00-scene0078_01"": 75, ""scene0147_00-scene0147_01"": 75, ""scene0156_00-scene0156_01"": 75, ""scene0201_00-scene0201_01"": 75}",65,39716,236,29.198139190673828,85.99791717529297,0.9998935409773408,0.014584786438506298,True
226,26.799736976623535,0.025387301109731197,0.03826569765806198,0.6439684629440308,3.153345227241516,3.7777388095855713,scene0001_00-scene0001_01|scene0156_00-scene0156_01,"{""scene0001_00-scene0001_01"": 76, ""scene0063_00-scene0063_02"": 75, ""scene0078_00-scene0078_01"": 75, ""scene0147_00-scene0147_01"": 75, ""scene0156_00-scene0156_01"": 76, ""scene0201_00-scene0201_01"": 75}",54,79453,307,26.799736976623535,32.93456268310547,0.9999247145299596,0.012270412742406457,True
227,29.429614067077637,0.06933269836008549,0.04179513454437256,0.6858238577842712,2.6914525032043457,3.4267345666885376,scene0063_00-scene0063_02|scene0201_00-scene0201_01,"{""scene0001_00-scene0001_01"": 76, ""scene0063_00-scene0063_02"": 76, ""scene0078_00-scene0078_01"": 75, ""scene0147_00-scene0147_01"": 75, ""scene0156_00-scene0156_01"": 76, ""scene0201_00-scene0201_01"": 76}",65,39716,236,29.429614067077637,77.6543197631836,0.9998545114705093,0.01705887597250887,True
228,27.714619636535645,0.0677407756447792,0.03707203455269337,0.6190804541110992,2.585324287414551,3.655162811279297,scene0078_00-scene0078_01|scene0147_00-scene0147_01,"{""scene0001_00-scene0001_01"": 76, ""scene0063_00-scene0063_02"": 76, ""scene0078_00-scene0078_01"": 76, ""scene0147_00-scene0147_01"": 76, ""scene0156_00-scene0156_01"": 76, ""scene0201_00-scene0201_01"": 76}",60,53172,209,27.714619636535645,85.09185028076172,0.9999938810400784,0.0034821282552515045,True
229,26.60377788543701,0.03589617554098368,0.03324542846530676,0.6593020856380463,2.3715269565582275,3.272549271583557,scene0001_00-scene0001_01|scene0078_00-scene0078_01,"{""scene0001_00-scene0001_01"": 77, ""scene0063_00-scene0063_02"": 76, ""scene0078_00-scene0078_01"": 77, ""scene0147_00-scene0147_01"": 76, ""scene0156_00-scene0156_01"": 76, ""scene0201_00-scene0201_01"": 76}",46,46457,263,26.60377788543701,46.98605728149414,0.9999459928326805,0.01039528306803551,True
230,29.009575843811035,0.0725297499448061,0.04073296394199133,0.6823216676712036,2.7035422325134277,3.5256359577178955,scene0063_00-scene0063_02|scene0201_00-scene0201_01,"{""scene0001_00-scene0001_01"": 77, ""scene0063_00-scene0063_02"": 77, ""scene0078_00-scene0078_01"": 77, ""scene0147_00-scene0147_01"": 76, ""scene0156_00-scene0156_01"": 76, ""scene0201_00-scene0201_01"": 77}",65,39716,236,29.009575843811035,42.28168869018555,0.9994595126620187,0.032873593051239755,True
